type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagDelay,rewardRate,lagRewardRate,windowReward
1,1,1,1,4,1.07972193299975,no reward,NaN,0,-0.920278067000254,-1.73933623882942,-1.37821553124061,NaN,NaN,no reward,NaN,NaN,NaN,0,NaN,NaN
1,1,1,2,10,2.83222622799985,no reward,NaN,0,-2.16777377200015,-0.143335865082187,-1.55021232901714,1.07972193299975,-1.37821553124061,no reward,NaN,NaN,4,0,0,NaN
1,1,1,3,8,3.26813747199958,no reward,NaN,0,-0.73186252800042,0.253647189583673,0.0727921666499429,2.83222622799985,-1.55021232901714,no reward,0,NaN,10,0,0,0
1,1,1,4,6,2.47909497100045,no reward,NaN,0,-0.52090502899955,-0.464931435353153,-0.312215601026346,3.26813747199958,0.0727921666499429,no reward,0,0,8,0,0,0
1,1,1,5,8,2.65143110500048,no reward,NaN,0,-1.34856889499952,-0.307985438097158,-0.728704845433416,2.47909497100045,-0.312215601026346,no reward,0,0,6,0,0,0
1,1,1,6,10,3.42868320399975,no reward,NaN,0,-1.57131679600025,0.399855703312755,-0.809557917755173,2.65143110500048,-0.728704845433416,no reward,0,0,8,0,0,0
1,1,1,7,4,1.09934942200016,no reward,NaN,0,-0.900650577999841,-1.7214615438174,-1.3445971188624,3.42868320399975,-0.809557917755173,no reward,0,0,10,0,0,0
1,1,1,8,6,2.01078359800067,no reward,NaN,0,-0.989216401999329,-0.891421189740705,-0.855524618359424,1.09934942200016,-1.3445971188624,no reward,0,0,4,0,0,0
1,1,1,9,8,2.95201934900069,no reward,NaN,0,-1.04798065099931,-0.0342406312301783,-0.338047974796787,2.01078359800067,-0.855524618359424,no reward,0,0,6,0,0,0
1,1,1,10,4,1.41780934200051,no reward,NaN,0,-0.58219065799949,-1.43144105554005,-0.799131679229313,2.95201934900069,-0.338047974796787,no reward,0,0,8,0,0,0
1,1,1,11,10,3.55467775299985,no reward,NaN,0,-1.44532224700015,0.514598558932551,-0.653103349753104,1.41780934200051,-0.799131679229313,no reward,0,0,4,0,0,0
1,1,1,12,8,2.96706808500039,no reward,NaN,0,-1.03293191499961,-0.0205357927607576,-0.318490017258451,3.55467775299985,-0.653103349753104,no reward,0,0,10,0,0,0
1,1,1,13,6,2.28756595300001,no reward,NaN,0,-0.712434046999988,-0.639356334158962,-0.534417000693478,2.96706808500039,-0.318490017258451,no reward,0,0,8,0,0,0
1,1,1,14,8,2.47019755300062,no reward,NaN,0,-1.52980244699938,-0.473034287080041,-0.964243439146947,2.28756595300001,-0.534417000693478,no reward,0,0,6,0,0,0
