type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagDelay,rewardRate,lagRewardRate,windowReward
3,1,1,1,10,4.52427754599921,no reward,NaN,0,-0.475722454000788,0.213545893775919,-1.25098327180575,NaN,NaN,no reward,NaN,NaN,NaN,0,NaN,NaN
3,1,1,2,4,2.54476683499888,no reward,NaN,0,0.544766834998882,-1.21024566729972,-0.203979999001265,4.52427754599921,-1.25098327180575,no reward,NaN,NaN,10,0,0,NaN
3,1,1,3,4,2.52218181799981,no reward,NaN,0,0.522181817999808,-1.22649026574081,-0.244484761910084,2.54476683499888,-0.203979999001265,no reward,0,NaN,4,0,0,0
3,1,1,4,10,4.61841286999697,no reward,NaN,0,-0.381587130003027,0.281254080027361,-1.16064434658977,2.52218181799981,-0.244484761910084,no reward,0,0,4,0,0,0
3,1,1,5,8,3.3044525309997,no reward,NaN,0,-0.695547469000303,-0.663830799713963,-1.89496798840037,4.61841286999697,-1.16064434658977,no reward,0,0,10,0,0,0
3,1,1,6,4,1.90487705899795,no reward,NaN,0,-0.095122941002046,-1.67049559574204,-1.35158080292175,3.3044525309997,-1.89496798840037,no reward,0,0,8,0,0,0
3,1,1,7,10,5.61024100099894,no reward,NaN,0,0.61024100099894,0.994640734168981,-0.208815813489651,1.90487705899795,-1.35158080292175,no reward,0,0,4,0,0,0
3,1,1,8,8,4.05424095600029,no reward,NaN,0,0.0542409560002852,-0.124534686701996,-0.812648659609332,5.61024100099894,-0.208815813489651,no reward,0,0,10,0,0,0
3,1,1,9,6,3.00715279400174,no reward,NaN,0,0.0071527940017404,-0.877667913246827,-1.06511314699026,4.05424095600029,-0.812648659609332,no reward,0,0,8,0,0,0
3,1,1,10,6,2.85281401400061,no reward,NaN,0,-0.147185985999386,-0.988678301466078,-1.28531513619652,3.00715279400174,-1.06511314699026,no reward,0,0,6,0,0,0
3,1,1,11,6,3.16275785100152,no reward,NaN,0,0.162757851001516,-0.765746737076471,-0.84310450417442,2.85281401400061,-1.28531513619652,no reward,0,0,6,0,0,0
3,1,1,12,6,3.72653118600283,no reward,NaN,0,0.726531186002831,-0.36024465402449,-0.0387440587450404,3.16275785100152,-0.84310450417442,no reward,0,0,6,0,0,0
3,1,1,13,4,1.69933072599815,no reward,NaN,0,-0.300669274001848,-1.81833775325543,-1.72021481746668,3.72653118600283,-0.0387440587450404,no reward,0,0,6,0,0,0
3,1,1,14,4,1.3314868990019,no reward,NaN,0,-0.668513100998098,-2.08291471854317,-2.37991885933509,1.69933072599815,-1.72021481746668,no reward,0,0,4,0,0,0
3,1,1,15,4,2.16452395799934,no reward,NaN,0,0.164523957999336,-1.48374082770605,-0.88592093273027,1.3314868990019,-2.37991885933509,no reward,0,0,4,0,0,0
3,1,1,16,6,2.76413110400244,no reward,NaN,0,-0.235868895997555,-1.05246476049626,-1.41184298091612,2.16452395799934,-0.88592093273027,no reward,0,0,4,0,0,0
3,1,1,17,10,5.44188093300181,no reward,NaN,0,0.441880933001812,0.873545332813312,-0.370386060940138,2.76413110400244,-1.41184298091612,no reward,0,0,6,0,0,0
3,1,1,18,4,1.6935265189968,no reward,NaN,0,-0.306473481003195,-1.82251251265498,-1.73062428620752,5.44188093300181,-0.370386060940138,no reward,0,0,10,0,0,0
3,1,1,19,8,3.95159720100128,no reward,NaN,0,-0.0484027989987226,-0.198362684374638,-0.960814883987936,1.6935265189968,-1.73062428620752,no reward,0,0,4,0,0,0
3,1,1,20,8,5.05670611099777,no reward,NaN,0,1.05670611099777,0.596502799999211,0.634409440403915,3.95159720100128,-0.960814883987936,no reward,0,0,8,0,0,0
3,1,1,21,4,2.18487579199791,no reward,NaN,0,0.184875791997911,-1.46910247827022,-0.849421238667355,5.05670611099777,0.634409440403915,no reward,0,0,8,0,0,0
3,1,1,22,10,4.88141608600199,no reward,NaN,0,-0.118583913998009,0.470422927360583,-0.908247830030216,2.18487579199791,-0.849421238667355,no reward,0,0,4,0,0,0
