id,session,HR,HRV,EBR,SCL
1,1,90.15267,0.03781388,0.6360751,NaN
2,1,85.01746,0.08062091,0.5500502,NaN
3,1,76.13525,0.06486525,0.4091409,NaN
4,1,78.97191,0.05002545,0.5085992,NaN
5,1,62.84084,0.07881494,0.3633893,NaN
6,1,74.94972,0.04047905,0.3874753,NaN
7,1,82.20689,0.05845643,0.5394197,NaN
8,1,68.50081,0.08245155,0.3715086,NaN
9,1,68.29646,0.1005774,0.4011999,0.2564085
10,1,69.64648,0.1106284,0.6340496,NaN
11,1,70.68789,0.06309786,0.4117741,NaN
12,1,77.35593,0.07895377,0.4418594,2.797325
13,1,79.23811,0.08621094,0.3716757,0.45684
14,1,84.57173,0.04472239,0.5171607,0.6431819
15,1,70.00946,0.07218297,0.3299639,0.5855795
16,1,84.48573,0.06104621,0.3484325,NaN
17,1,79.54501,0.06002698,0.3807251,2.523946
18,1,66.82996,0.6947334,0.8550504,NaN
19,1,88.11809,0.06724109,0.266844,0.7895153
20,1,73.77586,0.06670803,0.3800204,0.7507011
21,1,76.58041,0.06892256,0.3432268,0.6273335
22,1,66.29294,0.07426739,0.5316201,0.107718
23,1,93.39838,0.03874913,0.8530787,-0.2297794
24,1,78.35759,0.06524993,0.5010306,0.499315
25,1,84.58503,0.04968634,0.4684771,0.08994722
26,1,84.68795,0.04152867,0.3876988,NaN
27,1,81.45161,0.07089128,0.6112553,0.2806488
28,1,71.9295,0.05536513,0.4797074,1.79706
29,1,85.60149,0.05507566,0.7175561,0.371566
30,1,90.91797,0.04678265,0.5110824,0.7352886
31,1,106.1954,0.1044014,0.4847885,0.4393201
32,1,76.38144,0.08350113,0.3560126,-0.08655395
33,1,68.95934,0.1013835,0.3252687,0.01073812
34,1,89.89903,0.05016189,0.6225811,NaN
35,1,73.00494,0.08677983,0.3672523,0.9754743
36,1,72.12518,0.06806863,0.4416401,-0.06891203
37,1,78.83286,0.05275791,0.4895164,0.3806646
38,1,84.01949,0.07272632,0.588313,0.4995844
39,1,94.13303,0.04528488,0.4074571,0.06948031
40,1,70.52179,0.07898171,0.6071849,0.1702058
41,1,76.61332,0.08945516,0.4225352,0.5123298
42,1,84.57893,0.06783059,0.390404,1.396348
43,1,74.78542,0.06781572,0.455666,0.07685435
44,1,76.78371,0.06193663,0.402137,1.088484
45,1,66.52006,0.1057985,0.2768548,0.2699231
46,1,83.45026,0.05988019,0.3313293,0.9701788
47,1,85.34856,0.06400751,0.5293353,3.405535
48,1,64.2534,0.07678608,0.493173,-0.1641073
49,1,74.24796,0.05372001,0.3906143,0.6619334
50,1,80.87766,0.05304334,0.4879235,0.006420309
51,1,89.78495,0.04813856,0.3415565,0.7763945
52,1,47.18063,0.104539,0.1570803,0.1229667
1,2,89.54237,0.03587277,0.6184346,NaN
2,2,90.77706,0.05514209,0.5754175,NaN
3,2,73.03687,0.06320124,0.2694976,NaN
4,2,77.51637,0.04341622,0.5109693,NaN
5,2,63.70699,0.06890704,0.371334,NaN
6,2,74.6852,0.03290688,0.3548263,NaN
7,2,76.14766,0.03677827,0.4054544,NaN
8,2,65.30523,0.05896074,0.3754178,NaN
9,2,66.26717,0.08185337,0.316365,-3.005589
10,2,72.53421,0.06609765,0.4328555,NaN
11,2,70.81453,0.0414526,0.3741489,NaN
12,2,75.70965,0.06270719,0.3855584,6.136327
13,2,83.37717,0.06518065,0.2828189,6.267047
14,2,87.81157,0.03474298,0.3289449,1.255418
15,2,70.43102,0.06274197,0.3297961,1.356675
16,2,81.9137,0.05959835,0.3096394,NaN
17,2,79.33091,0.03441247,0.3269912,1.964567
18,2,83.22676,0.55304,1.835798,NaN
19,2,89.03782,0.07320596,0.3472529,1.812146
20,2,71.04554,0.05836289,0.3955481,4.251747
21,2,79.76743,0.06104434,0.3872767,1.761256
22,2,65.74223,0.05841779,0.5229496,-0.2513475
23,2,89.90234,0.0276678,0.6088891,-2.70617
24,2,72.77022,0.06361537,0.7079718,0.3209579
25,2,84.56656,0.05841554,0.5052719,-0.4407576
26,2,84.90971,0.0360135,0.394135,NaN
27,2,76.644,0.05868656,0.6762707,0.1245571
28,2,68.70741,0.03871239,0.3922841,-4.258379
29,2,85.84774,0.05136772,0.5577183,2.468457
30,2,89.20061,0.04358362,0.4930561,0.5901061
31,2,108.38,0.136205,0.2748767,1.84954
32,2,81.53486,0.04060297,0.284559,-0.2803409
33,2,67.00599,0.07290345,0.261922,0.2918698
34,2,89.89893,0.04408345,0.7153058,NaN
35,2,72.96309,0.1041115,0.3327504,1.190753
36,2,72.46284,0.04046386,0.430064,-0.559716
37,2,78.94917,0.04561466,0.4795431,-3.628556
38,2,81.03253,0.06388178,0.6724922,2.165757
39,2,92.77142,0.03126376,0.3901602,-0.4676487
40,2,71.7058,0.07133751,0.5329129,-0.1608886
41,2,72.28319,0.06957909,0.4943199,-0.1907987
42,2,90.8123,0.06616519,0.2885735,-1.133667
43,2,75.474,0.05810272,0.3932745,0.2858089
44,2,80.4229,0.05212073,0.406697,2.13872
45,2,68.05711,0.07114058,0.2292704,1.096608
46,2,89.11392,0.04538044,0.2869198,3.180547
47,2,92.65043,0.03044337,0.5701984,0.8173755
48,2,62.29375,0.05855266,0.4500993,-1.218937
49,2,74.04941,0.06939812,0.2304926,1.183374
50,2,72.87981,0.05174538,0.4361746,0.899956
51,2,93.03148,0.05893726,0.3239902,-0.1876664
52,2,45.15214,0.1065482,0.1958654,1.071874
1,3,90.34491,0.03753201,0.6474887,NaN
2,3,84.8521,0.07729977,0.5275866,NaN
3,3,76.75678,0.06336554,0.4317464,NaN
4,3,79.17197,0.04620321,0.5004408,NaN
5,3,63.13987,0.07846176,0.3693087,NaN
6,3,74.90673,0.04292796,0.406152,NaN
7,3,83.12686,0.058513,0.5627537,NaN
8,3,69.43204,0.08209893,0.3749074,NaN
9,3,68.79546,0.09951229,0.4210553,0.4327876
10,3,69.77348,0.1118896,0.6781799,NaN
11,3,70.38741,0.06478982,0.410785,NaN
12,3,77.4876,0.08050261,0.4214285,4.45341
13,3,79.48379,0.0834698,0.4078753,-0.3792599
14,3,83.48446,0.04296455,0.5621985,0.3400436
15,3,70.07583,0.07378205,0.3290428,0.5903183
16,3,84.76591,0.05740399,0.3597319,NaN
17,3,79.47603,0.06282827,0.3973801,1.782394
18,3,63.14608,0.7657946,0.7003059,NaN
19,3,87.67893,0.06811451,0.2613203,0.7053682
20,3,74.37202,0.06847609,0.3515754,0.1395976
