"meanHR" "sdnn" "sdnni" "hfpowfft" "lfpowfft" "ipipN" "ipipE" "ipipO" "ipipA" "ipipC" "BIS" "BASdrive" "BASfun" "BASreward" "zaubAUC"
"meanHR" NA 0 0 0.017 0 0.145 0.363 0.947 0.962 0.154 0.944 0.562 0.498 0.658 0.973
"sdnn" 0.001 NA 0 0 0 0.632 0.762 0.947 0.076 0.27 0.944 0.589 0.296 0.658 0.973
"sdnni" 0.001 0 NA 0 0 0.632 0.772 0.994 0.076 0.313 0.944 0.589 0.296 0.658 0.973
"hfpowfft" 0.017 0 0 NA 0 0.632 0.785 0.961 0.177 0.432 0.944 0.913 0.355 0.658 0.973
"lfpowfft" 0.001 0 0 0 NA 0.632 0.785 0.726 0.056 0.27 0.944 0.589 0.565 0.658 0.973
"ipipN" 0.121 0.756 0.842 0.827 0.771 NA 0.035 0.706 0.011 0.015 0 0.41 0.541 0.658 0.736
"ipipE" 0.492 0.756 0.842 0.923 0.847 0.052 NA 0 0.076 0.33 0.775 0.018 0.001 0.011 0.167
"ipipO" 0.962 0.874 0.994 0.923 0.726 0.606 0 NA 0.056 0.494 0.944 0.41 0.001 0.015 0.736
"ipipA" 0.962 0.1 0.087 0.283 0.045 0.006 0.076 0.047 NA 0.432 0.775 0.913 0.329 0.042 0.973
"ipipC" 0.093 0.265 0.313 0.679 0.202 0.01 0.33 0.726 0.41 NA 0.944 0.405 0.005 0.658 0.736
"BIS" 0.962 0.94 0.994 0.923 0.944 0 0.345 0.947 0.263 0.597 NA 0.808 0.498 0.228 0.736
"BASdrive" 0.492 0.756 0.685 0.923 0.726 0.35 0.013 0.492 0.962 0.27 0.944 NA 0.001 0 0.736
"BASfun" 0.598 0.296 0.313 0.576 0.771 0.632 0.001 0.002 0.263 0.015 0.925 0.002 NA 0 0.736
"BASreward" 0.598 0.756 0.842 0.827 0.726 0.606 0.011 0.02 0.056 0.597 0.685 0 0 NA 0.973
"zaubAUC" 0.962 0.756 0.994 0.923 0.847 0.325 0.033 0.628 0.962 0.432 0.925 0.589 0.355 0.658 NA
