"meanHR" "sdnn" "sdnni" "hfpowfft" "lfpowfft" "ipipN" "ipipE" "ipipO" "ipipA" "ipipC" "BIS" "BASdrive" "BASfun" "BASreward" "zaubAUC"
"meanHR" NA 0 0 0.005 0 0.052 0.259 0.808 0.962 0.033 0.927 0.281 0.427 0.399 0.86
"sdnn" 0 NA 0 0 0 0.609 0.599 0.812 0.036 0.113 0.94 0.463 0.148 0.642 0.648
"sdnni" 0 0 NA 0 0 0.632 0.662 0.994 0.031 0.157 0.93 0.391 0.136 0.658 0.973
"hfpowfft" 0.005 0 0 NA 0 0.522 0.785 0.893 0.101 0.34 0.661 0.853 0.247 0.532 0.923
"lfpowfft" 0 0 0 0 NA 0.606 0.768 0.466 0.016 0.086 0.944 0.441 0.565 0.453 0.786
"ipipN" 0.052 0.609 0.632 0.522 0.606 NA 0.015 0.353 0.001 0.002 0 0.175 0.503 0.389 0.139
"ipipE" 0.259 0.599 0.662 0.785 0.768 0.015 NA 0 0.038 0.188 0.221 0.004 0 0.002 0.012
"ipipO" 0.808 0.812 0.994 0.893 0.466 0.353 0 NA 0.014 0.423 0.8 0.176 0 0.004 0.269
"ipipA" 0.962 0.036 0.031 0.101 0.016 0.001 0.038 0.014 NA 0.322 0.181 0.913 0.188 0.015 0.849
"ipipC" 0.033 0.113 0.157 0.34 0.086 0.002 0.188 0.423 0.322 NA 0.571 0.116 0.002 0.597 0.303
"BIS" 0.927 0.94 0.93 0.661 0.944 0 0.221 0.8 0.181 0.571 NA 0.692 0.397 0.098 0.368
"BASdrive" 0.281 0.463 0.391 0.853 0.441 0.175 0.004 0.176 0.913 0.116 0.692 NA 0 0 0.368
"BASfun" 0.427 0.148 0.136 0.247 0.565 0.503 0 0 0.188 0.002 0.397 0 NA 0 0.254
"BASreward" 0.399 0.642 0.658 0.532 0.453 0.389 0.002 0.004 0.015 0.597 0.098 0 0 NA 0.626
"zaubAUC" 0.86 0.648 0.973 0.923 0.786 0.139 0.012 0.269 0.849 0.303 0.368 0.368 0.254 0.626 NA
