"meanHR" "sdnn" "sdnni" "hfpowfft" "lfpowfft" "ipipN" "ipipE" "ipipO" "ipipA" "ipipC" "BIS" "BASdrive" "BASfun" "BASreward" "zaubAUC"
"meanHR" 1 -0.42 -0.41 -0.3 -0.4 0.2 -0.12 0.03 0 -0.22 0.01 -0.11 -0.08 -0.09 0.02
"sdnn" -0.42 1 0.97 0.82 0.88 -0.06 0.06 -0.03 -0.22 0.17 -0.01 0.08 0.16 -0.05 -0.05
"sdnni" -0.41 0.97 1 0.86 0.9 -0.05 0.05 0 -0.23 0.16 0.01 0.09 0.16 -0.05 0
"hfpowfft" -0.3 0.82 0.86 1 0.67 0.07 -0.03 -0.01 -0.18 0.1 0.05 0.02 0.12 -0.07 0.01
"lfpowfft" -0.4 0.88 0.9 0.67 1 -0.06 0.03 -0.08 -0.26 0.18 0.01 0.08 0.06 -0.08 -0.03
"ipipN" 0.2 -0.06 -0.05 0.07 -0.06 1 -0.22 -0.09 -0.31 -0.28 0.43 -0.13 0.06 -0.08 0.14
"ipipE" -0.12 0.06 0.05 -0.03 0.03 -0.22 1 0.4 0.19 0.12 -0.11 0.27 0.34 0.28 -0.23
"ipipO" 0.03 -0.03 0 -0.01 -0.08 -0.09 0.4 1 0.23 0.07 -0.02 0.13 0.33 0.26 -0.1
"ipipA" 0 -0.22 -0.23 -0.18 -0.26 -0.31 0.19 0.23 1 0.09 -0.12 0.01 0.12 0.22 0.02
"ipipC" -0.22 0.17 0.16 0.1 0.18 -0.28 0.12 0.07 0.09 1 -0.05 0.15 -0.29 0.05 0.1
"BIS" 0.01 -0.01 0.01 0.05 0.01 0.43 -0.11 -0.02 -0.12 -0.05 1 -0.04 0.08 0.15 0.08
"BASdrive" -0.11 0.08 0.09 0.02 0.08 -0.13 0.27 0.13 0.01 0.15 -0.04 1 0.33 0.46 -0.08
"BASfun" -0.08 0.16 0.16 0.12 0.06 0.06 0.34 0.33 0.12 -0.29 0.08 0.33 1 0.39 -0.11
"BASreward" -0.09 -0.05 -0.05 -0.07 -0.08 -0.08 0.28 0.26 0.22 0.05 0.15 0.46 0.39 1 -0.05
"zaubAUC" 0.02 -0.05 0 0.01 -0.03 0.14 -0.23 -0.1 0.02 0.1 0.08 -0.08 -0.11 -0.05 1
