id,condition,k,s,k2,s2,hyperbolic,hTemp,exponential,eTemp,qhDelta,qhBeta,qTemp,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR,HRV,meanHR,cleanTD,cleanDR,cleanHR,cleanOther,logK,logE,logHRV,ptHRV,ptHR,filter,meanNN,SDNN,RMSSD,VLF,LF,HF,fftVLF,fftLF,fftHF,logAccuracy
1,3,0.13107234,0.0810344,0.14545695,0.079795457,0.12595453795986,2.32546672783276,0.0763456993747926,3.98466492223997,0.666781057268724,0.926495854318087,2.65689938169674,4.4681964,-2.7677233,0.7968657,0.71821624,0.99324799,0.84509236,4.8282108,3.4778008,0.72030842,-2.011692,1.8977828,-0.94337642,2.0327227,1.874457,0.92214102,0.69572335,0.1817576,0.26124984,1.5356674,0.40056118,0.26083848,-0.30427667,0.1817576,-0.59734321,0.31127721,1.874457,6.0218258,1.0617965,0.80559623,1.0718532,0.94123369,10.9332197317062,64.1084133258046,1,0,0,0,-2.07183424698057,-2.57248357667354,2.39180583627528,0.235398413806098,69.1046967579601,0,501.591617255566,290.397263476578,348.999414174702,14346.7626665121,2756.09301191038,6847.04382603607,28079.1943692258,6830.42640441433,13913.0715108339,-0.395887908983348
2,2,0.28355044,0.025855221,0.49998578,0.68867183,0.258911540736481,3.68871011276722,0.0940195840315816,11.7501722899143,0.666701203954269,0.910264925229862,7.83385328205944,3.4891505,0.3811591,0.57840389,1.9126467,0.64113724,0.65993643,6.3849044,3.2006233,0.50127977,-0.58726519,2.5879655,-4.4068093,1.9915789,1.7166013,0.86192983,1.1346498,0.60943085,0.5371092,1.0612853,0.40704209,0.38353696,0.13464981,0.60943085,4.5260434,0.38545012,1.7166013,4.4534979,0.64730144,0.287442,0.4842591,0.36134973,11.9098300935839,75.1867966991748,1,0,0,0,-1.35126881717919,-2.36425217765055,2.47736411740348,0.244977721421511,124.92957351538,0,686.308868838028,250.98432141643,257.68221789059,9360.89748484241,6806.46379639935,8157.10507680596,24973.6529973345,20050.5997719136,22829.211022213,0.0229945170017399
3,1,0.075816832,0.41483694,0.099669047,0.039196931,0.579731392920571,5.53597155981986,0.319089420014415,6.19497751167959,0.666064466300749,0.726810547702627,4.1262544287164,3.3093863,0.1098063,0.49005458,1.9690586,0.58371222,0.49310511,5.7357626,3.2846587,0.57266289,-1.1041399,3.2494452,-2.9429648,2.4235013,2.3966997,0.98894101,0.99251246,0.62651169,0.6312381,1.2112225,0.41712761,0.34438562,-0.0074875159,0.62651169,-83.674171,0.36855614,2.3966997,6.5029435,0.36937442,0.044914946,0.15578693,0.041024718,4.48774164855713,82.668065652402,1,0,0,0,-0.545190398367035,-1.14228390195298,1.50134960162522,0.128892829890795,85.1748859166011,0,680.423138954978,157.349881493274,148.303552504624,4792.35527235411,2585.72521434855,2619.53589600639,13358.2854138488,6955.16983493617,7314.0418182574,-0.117683411679769
4,1,0.094286069,0.18871477,0.11592345,0.02854836,0.999999978366325,7.80242163376949,0.999999985275631,9.51931486642948,0.666574408555408,0,6.73237204021337,4.2750664,-2.1496959,0.82306749,0.87821919,0.92065078,0.88329613,5.1473999,3.3271115,0.64636743,-1.7738205,1.8331884,-1.033469,1.9038495,1.6927191,0.88910341,0.77197593,0.19957983,0.25853115,1.3683259,0.30797103,0.2250714,-0.22802408,0.19957983,-0.87525773,0.2672154,1.6927191,6.3346615,0.69552767,0.74755633,0.75477308,0.82329857,9.73490765950641,65.2859350850077,1,0,0,0,-2.16336751965591e-08,-1.4724369054743e-08,2.27571815336638,0.238498969186769,75.7550812441784,0,858.67831124014,197.228169228422,164.620438167164,11011.1574205066,3145.72601876609,3316.08250676046,37627.3400650609,11269.8044267224,11582.8158602228,-0.287430391338426
5,3,0.10752534,0.046629649,0.12029014,0.10794282,0.386600844372336,2.61656785877011,0.265299621053364,2.40623925843162,0.678366103184977,0.766976108378132,1.63231102962593,4.7025914,-1.744487,0.85972077,1.7049949,0.70455801,0.80974156,6.2499189,3.5239,0.56383133,-0.589984,2.1830196,-3.700134,1.5525212,1.6224124,1.0450178,0.96647835,0.27201986,0.28145468,1.1283317,0.36217418,0.32098207,-0.033521663,0.27201986,-8.114748,0.23010647,1.6224124,7.050703,0.83879018,0.81674367,0.61817288,0.75031137,NaN,NaN,1,0,1,0,-0.950362528112164,-1.32689544620975,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0755150183968734
6,2,0.068817601,0.85172105,0.11602116,0.039989058,0,0,0.999999988799122,4.56002248082317,0.577044615939985,0.0708148246673094,0.0486379107643125,6.106277,-4.1336164,0.91527599,0.80652523,1.0600187,0.98208183,6.2470541,4.4347124,0.70988864,-0.59284878,0.59322977,-1.0006428,0.65155959,0.52568239,0.80680633,0.87564915,0.15426037,0.17616686,1.1988926,0.356473,0.29733524,-0.12435085,0.15426037,-1.2405251,0.13456158,0.52568239,3.9066308,0.209721,0.27999854,0.54500753,0.4050225,6.31107468018933,87.9248683018842,1,0,0,0,NaN,-1.12008780656114e-08,1.84230597586901,0.110589343970317,88.5593474187234,0,678.556784921276,106.90011267377,89.367418830318,2391.81640132757,1255.25727337848,1280.79439397358,6579.96566563874,3459.94682263059,3560.9200417267,-0.152886338185324
7,1,0.077136233,0.10005194,0.056399509,0.061318576,0.0695694187948776,2.11323952541438,0.0528236510836181,2.30047853414013,0.666509408205536,0.948547259697133,1.53329107769523,4.1453824,-2.2520101,0.76298237,0.72479612,0.98125076,0.8493467,4.7951398,3.2974055,0.68765575,-2.0447631,1.947858,-0.95260823,2.0884519,1.899302,0.90943056,0.72609806,0.21206753,0.29206461,2.0651808,3.6136549,1.7498008,-0.27390197,0.21206753,-0.7742461,0.28668728,1.899302,6.6249962,0.38802963,0.33309564,0.34372407,0.2559137,12.0951007498779,65.6122790706389,1,0,0,0,-2.66543019333076,-2.9407962513741,2.49280047390559,0.145674750533364,67.8405715506028,0,880.635702054795,150.711277918548,124.478145937643,5328.54562827669,2460.81630448076,2910.72073067902,18906.4625131228,8809.5701391818,10263.7374120282,-0.405803458704857
8,2,0.019483624,0.050306417,0.014784142,0.027027605,0.0135360434645726,0.67951647853551,0.0124413196907343,0.705168763514629,0.666145830300787,0.987635743049337,0.469744886998272,5.2172728,-3.599932,0.8084864,0.62161428,1.1012924,0.89986986,5.4493375,3.9484177,0.72456837,-1.5569843,1.4713141,-0.94497687,1.6376084,1.3776811,0.84127629,0.75787514,0.16819593,0.22193094,1.3860205,0.33018625,0.23822609,-0.24212489,0.16819593,-0.69466603,0.26065782,1.3776811,5.2854009,1.0221071,0.72357076,1.3647486,0.92771173,59.6050231577469,116.460895522388,1,0,0,0,-4.30239926508821,-4.38673211283349,4.0877398516901,0.286824055884066,117.917524560268,0,781.720632530121,265.316810678093,283.713864821435,9542.81599573704,7561.43832111236,10371.6603990583,29475.9969370833,25366.852025778,32167.2780008384,-0.301255658029299
9,3,0.097505637,0.31482825,0.074309692,0.72878754,0.465636425588929,7.66122003373836,0.225007452984374,8.05016780619323,0.666267800099127,0.798510260979946,5.36356766103809,5.6337419,-3.0861459,0.76436502,1.3034089,0.85474294,0.7573635,6.4912152,4.4772525,0.68974024,-0.34868738,2.3327737,-6.6901584,1.4792604,1.8176748,1.2287726,0.95415276,0.28718781,0.30098724,1.1590228,0.43374026,0.37422925,-0.045847245,0.28718781,-6.2640147,0.21715613,1.8176748,8.3703594,1.3979756,0.45476049,0.76734823,0.42576018,37.5775209578389,66.5225855599131,1,0,0,0,-0.764350151971804,-1.49162175295132,3.62640602474817,0.258474908369327,79.5007695395883,0,784.257985124684,248.534849641926,205.807826569013,16758.0676254435,4915.30509383583,5615.47090118678,51883.9975174933,16541.8438281485,18144.7750632247,-0.0936189774519852
10,3,0.051094923,0.092919707,NaN,NaN,0.0496351970568206,2.50714247911875,0.0399844356151462,2.80190959346766,0.665352867698422,0.960804387858778,1.8642580151628,3.277,-0.19149998,0.44058263,1.949342,0.55964112,0.40784875,5.3793998,3.4302659,0.637667,-1.4605027,3.6457145,-2.4962051,2.7651498,2.7546587,0.99620593,0.90323609,0.47566482,0.52662289,1.3693397,0.60531622,0.44204968,-0.096763901,0.47566482,-4.9157257,0.39554009,2.7546587,6.9642978,1.1097178,0.37076655,0.38831952,0.31486225,10.3873146842395,51.7727587718678,0,0,0,0,-3.00305507883006,-3.21926501021234,2.34058531975668,0.0978109727549032,51.7753265617683,1,1152.52394448788,121.868605521856,105.819625268504,3523.28447210275,2129.36508201738,1630.14588988057,16366.3766200402,9954.40239576953,7473.27964939191,-0.214713809798831
