type,id,D1S1,D1S2,D1S3,D2S1,D2S2,D2S3,D3S1,D3S2,D3S3,D4S1,D4S2,D4S3
1,1,1.50507566650003,2.02424957789196,1.57971328999956,2.24561255050003,2.89165160428947,2.22355060890022,2.72280218120022,3.23871133383779,3.16192774979991,3.63902383210007,4.14687392989999,4.25725394450019
1,2,1.80018019279978,1.84271838597306,1.52846753720023,2.54049322989995,2.8281619549167,2.73406223670045,3.48713785799973,3.39595831363161,3.43546120050014,4.60092713111105,4.42947599332419,5.00621113389989
1,3,2.03710756800065,2.03929147202612,2.10098975490073,3.58848052090034,3.49851186123068,3.11313846270059,4.82917968139918,4.813836759684,3.95591689859975,5.70875265659924,5.8759389628204,5.06388034660085
1,4,3.05388046120006,2.09381327438467,1.61408211900016,4.39711154011113,3.42486812271053,2.21953548209985,5.10844172462498,3.98252787347504,2.93693215199992,5.62584258555555,4.69791132628945,3.17962370850009
1,5,0.999270054500266,1.08056391546159,1.2896420985552,1.87946407222221,2.40594919317944,2.76958865010001,3.27819579900006,3.5333230808948,3.84741835500008,4.76724291640021,5.30087060224326,4.91608883889985
1,6,1.16765177029883,1.14842289839953,1.16521308940028,2.01143439177799,1.58407814274352,1.7843650300998,2.5490875207781,2.28939827752474,2.33422517955518,3.31729506219963,2.7200911924001,3.17379931030009
1,7,2.12433164079985,2.81316331012822,2.56543647355526,3.22617904922218,4.21910865610251,3.87309688139994,4.06053819910012,4.94784956700007,5.01951354677779,5.17364320979996,5.83821082745955,6.28253156822191
1,8,2.08210920870042,2.03256485744724,1.41456647570049,3.11317274950034,3.10820098780005,2.58888723919954,4.05325410822196,3.87165121887143,3.14503178380037,4.97332451679977,4.85901425464106,3.83544166980064
1,9,1.46728944277735,1.85819107602843,1.61264559019983,2.34017599139988,3.18411726047376,2.87500708189982,2.76034145680023,4.36280768628225,3.33958036699914,3.37515919379985,5.1693093994209,4.08910298800001
1,10,1.45933900522232,1.73932400370273,1.65320173366672,2.79837969200034,3.03195304767576,3.1726332264996,3.07824825130019,4.03138647824334,3.67926937129996,4.35618974499985,5.34143280833327,4.48422789440028
1,11,2.35360707877792,2.94321847467576,2.64926902590014,3.26144803910011,3.97508992052649,3.64961927111128,4.47461760239985,4.43973619841022,3.72388442840092,5.07883744177767,4.93594492615011,5.18047647490021
1,12,2.45106800549972,2.49924095587505,2.51459288850056,3.19446094899977,3.68989935083371,3.6009958108003,4.43426198066663,4.7145901851842,4.35444478460049,5.19821599100032,5.51260474310299,5.10472964270011
1,13,1.56036733000001,1.86916665466672,1.99835300111095,2.90692538055545,3.10694148507698,3.51822021900025,3.26003998730012,4.18176203089999,4.27348477370015,4.75602909349991,5.45425726942503,5.4295068313002
1,14,2.02392337629972,2.43993579164108,2.5463966456995,2.80754005211121,3.55782312202567,3.71579765939932,3.828251685777,4.46767159175006,4.59244708560036,4.78368166370055,5.64672378476919,5.91405039509991
1,15,2.23782291839998,2.39871605852632,2.12948626933333,2.80481798199991,3.07719504347372,3.0751537983332,3.64759100344448,4.03815196607712,3.94410686160008,4.46003481429989,4.84035934945009,5.04743954829974
1,16,2.10602983839999,1.98441800149986,2.11956443333272,3.05587660033335,2.94926364108122,2.96860056470032,3.26970284040017,3.64665297547383,3.40152917637488,4.52984192144403,4.68222029726291,4.34722716511088
1,17,2.27303632890007,2.51538237189741,1.8467693319998,3.34756820520024,3.44515892655002,2.43347451410009,4.23989853166667,3.99768789567502,3.38486649779989,5.64025570640006,5.39172603131575,4.1151767633999
1,18,1.17734175649999,2.20811259117649,2.02673957450006,2.14303996159999,2.68242616140003,2.68303597479999,2.8694838131,3.59176712007886,3.65953743309992,3.32338821289998,4.58157757628941,4.07781375670011
1,19,1.76499458469998,1.6821582567369,1.51948392409995,3.14224827060016,2.76296323686845,2.52701143199993,3.9829777506,4.05539961264094,3.65720470130018,5.17764739349996,5.21707903372496,4.97984409499968
1,20,1.98466444922219,2.05414645867556,2.22179701710029,3.13606114619997,2.96289939767494,3.03654103944448,3.97640789633321,3.40698307555003,3.49603072133303,4.93602544042863,4.11070013784595,4.10874824720013
1,21,2.19303303080032,2.42959080218216,2.20520966333303,3.10654974659992,3.65393817412801,3.2262545319998,3.93332921799993,4.73773017791884,4.0373991036995,5.68355862709959,6.12752487592302,5.07127791459934
1,22,1.64161012259974,1.60989147815761,1.33515831649929,2.69488016611002,2.34770632252521,2.35261816569982,3.64820755269975,3.22943715400013,3.16446592009961,4.63541416925,4.04764362039969,4.3202521575
1,23,1.70663416822233,3.00870811759996,2.76568149659979,2.99412692888877,3.48079295002494,3.4647558237999,3.38432103577765,4.03143823902503,4.04028913029997,3.63164556600006,5.0668412437501,4.50747762069932
1,24,3.10738447166659,2.89270520391675,3.49412141077745,4.12452682200031,3.96954940252621,5.68759413712587,4.7136753826002,4.99449097958957,6.34664095200005,4.57066148429985,5.939881288575,8.27654922190013
