A	DA	B	DB	R
23.2	0	32	9	0
28.5	0	47.1	12	0
23.8	0	60.8	12	1
24.8	0	23.3	1	0
20.3	0	21	2	0
21.2	0	43.8	12	0
21.1	0	32.9	9	0
28.2	0	33.6	2	0
20.2	0	28.5	4	0
28	0	42.2	4	0
27	0	24	12	0
26.3	0	41.4	12	0
20.6	0	17	4	0
26	0	26.1	9	0
24.9	0	49.3	4	0
25.5	0	21.9	9	0
29.7	0	61.2	1	1
27.8	0	118.7	9	1
21.5	0	37.6	1	0
27.3	0	33.8	4	0
20.5	0	15.5	4	0
22.1	0	23.6	1	0
24.8	0	246.1	12	1
23.5	0	37.1	9	0
20.1	0	15	1	0
21.7	0	31.3	6	1
28.5	0	32.5	2	0
22.5	0	28.9	4	0
20.5	0	20.9	9	0
24.1	0	31.7	4	0
23.7	0	125.9	12	1
27.7	0	61	4	0
23.6	0	25.9	12	0
23.2	0	18.2	1	0
23.7	0	39.9	1	0
23.7	0	20.3	4	0
21.5	0	19	4	0
27.7	0	71.4	4	1
27.1	0	166.8	12	1
29.3	0	30.2	6	0
24.4	0	39.1	1	0
22.9	0	34.9	6	0
20.2	0	51.5	4	1
22.8	0	35.3	6	0
23	0	27.4	2	0
22.4	0	37.2	1	0
26.2	0	47.9	9	0
26	0	94.2	6	1
23.9	0	48.2	2	1
25.4	0	20.6	1	0
27.3	0	32.8	2	0
27.6	0	67	4	1
29.7	0	26.6	2	0
22.8	0	27.6	2	0
23.9	0	26.4	1	1
27.7	0	23.6	1	0
24	0	34.1	4	0
