A	DA	B	DB	R	ID
20.8	0	27.8	1	1	1
29.4	0	44.2	2	1	1
24.2	0	121.1	9	1	1
28.8	0	51.2	4	1	1
20.2	0	39.9	6	1	1
23	0	50.7	6	1	1
24.9	0	55.8	9	1	1
24.8	0	27.9	1	0	1
22.6	0	28.7	2	0	1
21.1	0	40.3	9	1	1
22.8	0	61.9	12	1	1
20.4	0	56.2	6	1	1
26.7	0	81.6	9	1	1
22.9	0	61.7	9	1	1
28.5	0	39.3	2	0	1
24.7	0	50.6	4	1	1
24.6	0	31	4	0	1
20.4	0	51	12	0	1
24.5	0	55.1	4	1	1
20.1	0	48.1	6	1	1
24.1	0	66	9	1	1
28.3	0	84.9	12	1	1
26.5	0	34.8	2	0	1
27	0	129.9	9	1	1
23.7	0	51.7	12	0	1
22.1	0	23.4	1	0	1
25.6	0	38.4	4	1	1
29.4	0	42.5	1	1	1
28.5	0	59.1	12	0	1
20.6	0	61.9	9	1	1
26.9	0	30.8	1	0	1
30	0	43.7	2	0	1
22	0	40.5	2	1	1
22	0	45.9	12	0	1
22.7	0	31.7	4	0	1
21.4	0	30.7	4	0	1
28.9	0	59	6	1	1
27.4	0	39.9	4	1	1
27.4	0	42.8	6	0	1
21.4	0	41.9	4	1	1
29.6	0	69.3	9	1	1
27.8	0	35.8	2	0	1
26.8	0	62.4	9	1	1
24.6	0	28.1	1	0	1
21.5	0	31.3	2	0	1
23.3	0	56.3	9	1	1
28.9	0	106.4	9	1	2
22.1	0	36.1	6	0	2
23.7	0	45.5	2	1	2
29.6	0	36.5	1	0	2
20.7	0	79.8	6	1	2
25.5	0	63.7	4	1	2
25.1	0	50.6	4	0	2
20	0	63	6	0	2
26.3	0	59	4	1	2
28.5	0	61.1	4	0	2
22.5	0	35.6	4	0	2
29.4	0	111.2	9	1	2
22.4	0	35.9	2	1	2
23.6	0	26.2	1	0	2
29	0	154.7	9	1	2
21.8	0	28	1	0	2
26.9	0	132.7	9	1	2
21.2	0	33.4	2	0	2
23.4	0	34	2	0	2
30	0	111.1	9	1	2
20.3	0	91.3	12	1	2
24.4	0	74.9	6	1	2
24.2	0	59.2	12	1	2
22.1	0	29.3	9	0	2
27.2	0	41.6	2	0	2
23.8	0	54.5	4	0	2
27.8	0	38.8	1	1	2
27.9	0	37.7	1	0	2
22.2	0	19	1	0	2
27.3	0	47.6	2	1	2
30	0	-695.4	6	0	2
24.8	0	34.3	1	0	2
23.7	0	-474.8	2	0	2
26.4	0	-49.4	9	0	2
29.6	0	25.1	6	0	2
25	0	65	4	1	2
