Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,702.046816,75.034706,86.498826,9.751742,39.757438,359,16.370269,27.402266,66.703688,20.12844,425,0.003906,0.085938,0.1875,1991.69271,1572.0234,804.377335,45.58208,35.977486,18.409061,66.113307,33.829042,4369.464253,1.954336,0.003906,0.042969,0.152344,2542.40674,1742.171398,866.713651,49.345582,33.813811,16.822049,66.753924,33.20944,5152.247938,2.010089,0.181899,28.119244,102.224608,1.313625,1.384894,4.059841,1.257485,0.831353,12.353751,486.5,36.005991,98.809142,3.319099,1.384894,1.615896,1.666848,1.732043,1.788049,1.516714,1.499126,1.530226,1.477175,1.45837,1.427225,1.454576,1.624678,1.407062,1.551377,1.342429,1.311614,2.054404,1.429682,1.493433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,707.23913,33.764892,85.074892,3.994899,26.41845,100,5.844535,19.851178,33.629102,10.011696,190,0.007812,0.074219,0.289062,397.80726,371.908174,214.598834,40.401575,37.771246,21.794803,63.37625,36.569428,984.633046,1.733039,0.035156,0.042969,0.289062,404.364394,460.442371,227.668081,36.996046,42.126724,20.829774,66.86362,33.061058,1092.993535,2.022428,0.138862,18.686127,43.9578,1.557041,1.811059,1.208779,1.095229,0.924262,8.574239,206,29.129776,97.216144,2.937754,1.811059,1.819164,1.846459,1.585474,1.751831,1.903538,1.637914,1.920146,1.778856,1.634254,1.700167,1.69446,1.929216,1.418142,1.849304,1.562956,1.268657,1.34891,2.112157,1.632738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,834.371399,55.516125,72.297158,5.198311,29.842171,196,10.061602,30.736387,50.702051,14.654135,280,0.003906,0.046875,0.386719,1491.584598,1038.388976,184.143003,54.925542,38.237239,6.780812,84.831278,15.043579,2715.648411,5.639036,0.003906,0.042969,0.152344,1533.032846,1030.216496,189.923427,55.652332,37.399036,6.894622,84.33146,15.546752,2754.660571,5.424378,0.169737,21.107034,75.634194,1.345214,1.367773,2.907298,1.445582,1.03719,16.967208,990,45.162874,99.392608,3.716738,1.367773,1.320721,1.471264,1.649851,1.851277,1.665488,1.875965,1.540725,1.733829,1.49676,1.403226,1.396845,1.403123,1.346588,1.638149,1.433278,1.177623,1.754375,1.18417,1.499206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600.669755,53.259806,100.663924,8.703465,32.259543,121,11.162362,9.697592,49.493791,12.329545,280,0.019531,0.089844,0.160156,579.09784,1695.309311,311.091116,22.391043,65.549792,12.028459,84.461632,15.498802,2586.292428,5.449559,0.039062,0.082031,0.152344,633.612026,1892.339207,311.657309,22.321589,66.66543,10.97941,85.822341,14.134443,2838.561453,6.071859,0.209396,22.821481,71.781422,1.439241,1.575615,2.661039,1.44621,0.636317,11.866194,540,37.878138,98.886541,3.315804,1.575615,1.526162,1.56372,1.716782,1.832863,1.895114,1.63057,1.767197,1.68311,1.52014,1.407589,1.577176,1.200384,1.263991,1.231672,1.311851,1.329842,1.36021,1.387511,1.681528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1275.873275,133.245647,47.78097,6.57286,59.744413,253,41.818182,19.644864,71.254324,18.9375,540,0.003906,0.058594,0.242188,12264.91946,1131.008102,775.329766,86.53956,7.980235,5.470619,59.286584,40.642196,14172.615975,1.458745,0.003906,0.042969,0.261719,11119.863464,1048.404982,1027.375764,84.263172,7.944516,7.785162,50.483591,49.470976,13196.587734,1.020469,0.167886,42.280902,183.743132,1.15102,1.222712,4.966058,1.148787,1.392299,55.185841,596,66.670595,99.725612,4.656211,1.222712,1.047355,0.894979,0.935903,0.777265,0.732893,0.76815,0.757105,0.637506,0.830809,0.855559,0.7292,0.818827,0.849746,0.680937,1.113729,0.909695,0.796704,1.452023,1.161961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,872.790462,81.249453,69.391101,7.007854,45.365855,247,26.445396,13.31573,72.152723,19.081633,370,0.019531,0.070312,0.152344,3380.539465,2535.067403,637.293369,51.581083,38.680667,9.723975,79.887511,20.083009,6553.835745,3.977866,0.003906,0.042969,0.152344,2717.715648,2644.317803,602.21332,45.557959,44.327567,10.095099,81.421575,18.542838,5965.402523,4.390999,0.157506,32.09609,110.243361,1.39233,1.488425,4.489871,1.3856,0.954403,10.931516,925,36.261773,98.769522,3.228534,1.488425,1.773372,1.728139,1.791675,1.853548,1.700769,1.71372,1.574426,1.56726,1.497968,1.652738,1.510844,1.610219,1.162914,1.838744,1.542786,1.677414,1.774885,1.829695,1.682275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,681.192493,42.562691,88.433812,5.666083,31.045373,192,11.52461,8.844941,40.481221,11.263514,220,0.007812,0.101562,0.15625,552.763915,663.828863,221.06456,38.412075,46.130081,15.361981,74.901178,24.94317,1439.036841,3.002873,0.003906,0.042969,0.152344,578.220034,775.370432,252.134511,35.98505,48.254544,15.691385,75.380117,24.512063,1606.834031,3.075225,0.154525,21.958996,56.020485,1.566489,1.798677,3.100958,1.29649,0.747125,9.032861,275,27.491419,97.331733,2.996176,1.798677,1.702296,1.878817,1.775426,1.848205,1.864542,1.609909,1.654487,1.64524,1.625947,1.72037,1.626862,1.51684,1.72908,1.680708,1.453319,1.188376,1.825834,1.464472,1.681528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,521.997811,26.843489,115.239121,5.775996,20.386077,38,1.552922,2.049285,26.554201,7.221239,185,0.003906,0.085938,0.25,251.17937,249.113821,97.464476,41.998839,41.653465,16.2967,71.814881,28.097196,598.062656,2.555945,0.003906,0.042969,0.152344,196.181008,305.671652,136.252166,30.731535,47.883121,21.343749,69.126868,30.813082,638.370362,2.243426,0.158518,14.418085,35.11952,1.458609,1.591081,0.404661,1.171867,0.822709,11.928792,316.5,39.776556,98.536904,3.312221,1.591081,1.516032,1.549591,1.706373,1.596609,1.554643,1.730874,1.573944,1.522132,1.676363,1.508496,1.731233,1.450878,1.74032,1.485265,1.496538,1.494203,1.475868,1.401677,1.348516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,724.262095,75.163292,83.926405,8.74736,60.825614,579,40.774648,31.049266,73.648244,18.697368,370,0.003906,0.046875,0.285156,2109.706963,1308.28653,1835.479811,40.146083,24.895675,34.927754,41.594062,58.355001,5255.07547,0.712776,0.003906,0.042969,0.308594,2483.40379,1219.324197,1714.285566,45.824571,22.499365,31.632553,41.530571,58.389113,5419.371582,0.711273,0.201806,43.025468,97.158597,1.511126,1.76317,4.387298,0.799168,0.874671,8.418037,167,23.767082,96.93589,2.890552,1.76317,1.727734,1.584867,1.720532,1.643814,1.65808,1.664447,1.73189,1.805043,1.4804,1.462135,1.417844,1.994099,1.59719,1.680708,1.701542,1.416853,1.424134,1.253163,1.586218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,709.773205,72.098396,85.399939,8.484439,35.279853,210,13.333333,17.180592,70.617739,20.205128,360,0.003906,0.074219,0.171875,1449.172553,3255.324314,481.895616,27.939801,62.762101,9.290866,87.096763,12.8932,5186.767598,6.755248,0.039062,0.070312,0.152344,1278.351278,3512.350809,506.566898,24.129926,66.298493,9.561864,87.384247,12.602946,5297.783749,6.933637,0.151833,24.954567,98.885748,1.120685,1.103311,3.578672,1.561804,0.47792,12.515775,603,36.482123,99.208449,3.349394,1.103311,1.37653,1.651975,1.87401,1.591714,1.67872,1.49512,1.703244,1.53988,1.712861,1.692199,1.283793,1.30479,1.1645,1.447094,1.183337,1.1184,0.960132,1.067104,1.124065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
