id,cond,k,s,k2,s2,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR
1,3,0.1310723,0.0810344,0.145457,0.07979546,4.468196,-2.767723,0.7968657,0.7182214,0.993245,0.8450924,4.828211,3.477801,0.7203084,-2.011692,1.897783,-0.9433764,2.032723,1.874457,0.922141,0.6957234,0.1817576,0.2612498,1.535667,0.4005612,0.2608385,-0.3042767,0.1817576,-0.5973432,0.3112772,1.874457,6.021826,1.061797,0.8055962,1.07185,0.9412337
2,2,0.2835504,0.02585522,0.4999858,0.6886718,3.489151,0.3811592,0.5784039,1.912749,0.6411133,0.6599364,6.384904,3.200623,0.5012798,-0.5872652,2.587965,-4.406809,1.991579,1.716601,0.8619298,1.13465,0.6094308,0.5371092,1.061285,0.4070421,0.383537,0.1346498,0.6094308,4.526043,0.3854501,1.716601,4.453498,0.6473014,0.287442,0.4842582,0.3613497
3,1,0.07581683,0.4148369,0.09966905,0.03919693,3.309386,0.1098063,0.4900546,1.969072,0.583709,0.4931051,5.735763,3.284659,0.5726629,-1.10414,3.249445,-2.942965,2.423501,2.3967,0.988941,0.9925125,0.6265117,0.6312381,1.211223,0.4171276,0.3443856,-0.007487516,0.6265117,-83.67417,0.3685561,2.3967,6.502944,0.3693744,0.04491495,0.1557584,0.04102472
4,1,0.09428607,0.1887148,0.1159234,0.02854836,4.275066,-2.149696,0.8230675,0.8782126,0.9206539,0.8832961,5.1474,3.327111,0.6463674,-1.773821,1.833188,-1.033469,1.903849,1.692719,0.8891034,0.7719759,0.1995798,0.2585312,1.368326,0.307971,0.2250714,-0.2280241,0.1995798,-0.8752577,0.2672154,1.692719,6.334661,0.6955277,0.7475563,0.7547798,0.8232986
5,3,0.1075253,0.04662965,0.1202901,0.1079428,4.702591,-1.744487,0.8597208,1.704724,0.7046282,0.8097416,6.249919,3.5239,0.5638313,-0.589984,2.18302,-3.700134,1.552521,1.622412,1.045018,0.9664783,0.2720199,0.2814547,1.128332,0.3621742,0.3209821,-0.03352166,0.2720199,-8.114748,0.2301065,1.622412,7.050703,0.8387902,0.8167437,0.6181625,0.7503114
6,2,0.0688176,0.851721,0.1160212,0.03998906,6.106277,-4.133617,0.915276,0.8065248,1.060019,0.9820818,6.247054,4.434712,0.7098886,-0.5928488,0.5932298,-1.000643,0.6515596,0.5256824,0.8068063,0.8756492,0.1542604,0.1761669,1.198893,0.356473,0.2973352,-0.1243509,0.1542604,-1.240525,0.1345616,0.5256824,3.906631,0.209721,0.2799985,0.5457929,0.4050225
7,1,0.07713623,0.1000519,0.05639951,0.06131858,4.145382,-2.25201,0.7629824,0.7247929,0.9812526,0.8493467,4.79514,3.297405,0.6876557,-2.044763,1.947858,-0.9526082,2.088452,1.899302,0.9094306,0.7260981,0.2120675,0.2920646,2.065181,3.613655,1.749801,-0.273902,0.2120675,-0.7742461,0.2866873,1.899302,6.624996,0.3880296,0.3330956,0.3436995,0.2559137
8,2,0.01948362,0.05030642,0.01478414,0.02702761,5.217273,-3.599932,0.8084864,0.6216154,1.101292,0.8998699,5.449337,3.948418,0.7245684,-1.556984,1.471314,-0.9449769,1.637608,1.377681,0.8412763,0.7578751,0.1681959,0.2219309,1.386021,0.3301862,0.2382261,-0.2421249,0.1681959,-0.694666,0.2606578,1.377681,5.285401,1.022107,0.7235708,1.36488,0.9277117
9,3,0.09750564,0.3148282,0.07430969,0.7287875,5.633742,-3.086146,0.764365,1.303527,0.8547044,0.7573635,6.491215,4.477252,0.6897402,-0.3486874,2.332774,-6.690158,1.47926,1.817675,1.228773,0.9541528,0.2871878,0.3009872,1.159023,0.4337403,0.3742293,-0.04584724,0.2871878,-6.264015,0.2171561,1.817675,8.370359,1.397976,0.4547605,0.7670916,0.4257601
10,3,0.05109492,0.09291971,NaN,NaN,3.277,-0.1914999,0.4405826,1.949398,0.559628,0.4078487,5.3794,3.430266,0.637667,-1.460503,3.645715,-2.496205,2.76515,2.754659,0.9962059,0.9032361,0.4756648,0.5266229,1.36934,0.6053162,0.4420497,-0.0967639,0.4756648,-4.915726,0.3955401,2.754659,6.964298,1.109718,0.3707666,0.3883709,0.3148623
11,1,0.09252166,0.0363535,NaN,NaN,1.7427,0.9332433,0.6444588,1.777979,0.4366219,0.6297488,3.895833,1.508308,0.3871593,-2.944069,3.500479,-1.188993,3.269258,3.187974,0.9751371,0.7207927,0.3697574,0.5129872,1.695792,0.7226245,0.4261281,-0.2792073,0.3697574,-1.324312,0.416856,3.187974,7.647663,-0.1904963,0.167449,-0.2373537,0.1791342
12,1,0.04098919,0.04044888,0.04417381,0.04522612,5.619614,-3.440044,0.713746,0.75785,1.072559,0.8114117,6.1133,4.621678,0.7560038,-0.7266027,2.047287,-2.817615,1.382506,1.661418,1.201744,0.9032393,0.3276222,0.3627192,1.243564,0.4548668,0.3657767,-0.09676077,0.3276222,-3.385899,0.2433598,1.661418,6.827002,1.170345,0.356656,1.825763,0.64199
13,1,0.1068328,0.1199065,0.1218704,0.0708116,3.824857,-0.5537905,0.8574533,1.832961,0.6396244,0.8513378,5.948467,2.869954,0.4824696,-0.8914361,2.246561,-2.52016,1.676001,1.721412,1.027095,0.9933379,0.298493,0.3004949,1.086545,0.2937754,0.2703757,-0.006662101,0.298493,-44.80463,0.2277305,1.721412,7.558985,0.2487757,0.1852941,0.1830837,0.148793
14,2,0.07153033,0.02280454,0.07156999,0.0428923,4.3679,-1.512663,0.8631967,1.492776,0.7398206,0.8640628,5.912766,3.266501,0.5524489,-0.9271361,1.971222,-2.126141,1.374238,1.679669,1.222255,0.9394134,0.2158184,0.2297374,1.125031,0.2842755,0.2526823,-0.06058655,0.2158184,-3.562151,0.182551,1.679669,9.201097,0.7958488,0.8097777,0.848159,0.9189933
15,3,0.1158808,0.02910094,0.1127846,0.2018825,3.938429,-1.486395,0.7109585,1.15694,0.8001713,0.7479852,5.208933,3.245382,0.6230416,-1.630969,2.368519,-1.452215,1.98235,2.072788,1.045622,0.8317538,0.2731092,0.3283534,1.313187,0.377912,0.2877824,-0.1682462,0.2731092,-1.623272,0.2659922,2.072788,7.792665,1.208544,0.7253198,0.8632903,0.7809756
16,2,0.1105454,0.09696765,0.1192971,0.1227197,5.027943,-2.542769,0.8752636,1.147571,0.8745523,0.9091942,6.004734,3.7341,0.6218594,-0.8351694,1.494932,-1.789974,1.133731,1.275426,1.124982,0.9093335,0.2198736,0.2417964,1.149607,0.2328599,0.2025561,-0.09066647,0.2198736,-2.425082,0.1736209,1.275426,7.34604,0.6909183,0.5718778,0.8356463,0.713713
17,4,0.05025744,0.05685326,0.06184817,0.05207019,3.8311,-0.93997,0.768609,1.441421,0.7249714,0.8057833,5.5729,3.036238,0.5448219,-1.267003,2.24459,-1.771574,1.73103,1.897114,1.095945,0.9238521,0.3238153,0.3505056,1.196667,0.3732925,0.3119434,-0.07614793,0.3238153,-4.252451,0.2489855,1.897114,7.619379,0.5793875,0.2929688,0.6842809,0.392208
18,1,0.05675109,0.1555793,0.06847952,0.128661,3.913271,-1.846728,0.6769481,1.007328,0.8306325,0.6853153,4.805833,3.304664,0.687636,-2.034069,2.585638,-1.271165,2.37264,2.267619,0.9557365,0.7290511,0.2612546,0.3583488,1.553426,0.5906044,0.3801948,-0.2709489,0.2612546,-0.9642208,0.3324822,2.267619,6.820271,1.355716,0.8408411,0.7729414,0.7981197
19,1,0.1223025,0.09235798,0.1203295,0.0312724,2.960086,-1.475346,0.4123316,0.4825878,1.025714,0.4899613,3.5568,3.202919,0.9005058,-3.283103,3.220589,-0.9809589,3.434925,3.052389,0.8886335,0.5578263,0.3941171,0.7065231,9.209723,15.33273,1.664842,-0.4421737,0.3941171,-0.8913174,0.507134,3.052389,6.0189,1.312573,0.9178156,0.6150782,0.9588985
