id,trial,llTop,delay,ssA,llA,llRight,response,rt
1,1,1,1,28.9,51.6,0,-1,-1
1,2,0,4,25.4,57.1,0,-1,-1
1,3,0,6,24,67.8,1,-1,-1
1,4,1,2,27.8,45.9,1,-1,-1
1,5,1,1,25.3,45.2,1,-1,-1
1,6,0,1,20.8,27.8,0,1,1049
1,7,0,2,29.4,44.2,1,1,1067
1,8,1,9,24.2,121.1,1,1,976
1,9,1,4,28.5,50.7,1,-1,-1
1,10,0,1,28.5,34.2,1,-1,-1
1,11,1,4,29.2,51.9,0,-1,-1
1,12,1,4,28.8,51.2,1,1,922
1,13,0,6,20.2,39.9,1,1,1103
1,14,0,1,25.1,26.3,1,-1,-1
1,15,0,6,23.1,43.1,1,-1,-1
1,16,0,9,20.4,46.7,0,-1,-1
1,17,1,1,22.4,25.7,1,-1,-1
1,18,0,9,20.5,39.4,0,-1,-1
1,19,1,12,27.8,75.3,0,-1,-1
1,20,0,9,22,50.3,0,-1,-1
1,21,0,2,22.8,29.5,0,-1,-1
1,22,1,1,29.4,30.8,0,-1,-1
1,23,0,2,28.3,41,0,-1,-1
1,24,0,12,29.7,103.7,1,-1,-1
1,25,1,2,23.5,34.1,0,-1,-1
1,26,0,6,27,50.3,0,-1,-1
1,27,0,4,28.9,45.7,0,-1,-1
1,28,0,12,27.9,75.6,0,-1,-1
1,29,0,6,29.5,55,0,-1,-1
1,30,1,12,29.5,65.3,1,-1,-1
1,31,0,2,26.2,33.9,1,-1,-1
1,32,0,6,27.5,51.3,0,-1,-1
1,33,0,4,28.3,44.7,0,-1,-1
1,34,0,6,23,50.7,1,1,723
1,35,1,6,22.5,41.2,1,-1,-1
1,36,0,2,27,34.6,1,-1,-1
1,37,1,9,24.9,55.8,1,1,652
1,38,0,1,28.4,30.2,1,-1,-1
1,39,1,9,22.3,52.8,0,-1,-1
1,40,0,1,24.8,27.9,0,0,1248
1,41,1,12,20.6,53.2,1,-1,-1
1,42,1,2,22.6,28.7,1,0,1321
1,43,1,9,21.1,40.3,0,1,1484
1,44,0,12,22.8,61.9,1,1,1809
1,45,1,4,22.4,49,1,-1,-1
1,46,1,6,20.4,56.2,1,1,868
1,47,1,1,24.5,24,1,-1,-1
1,48,1,9,26.7,81.6,1,1,887
1,49,0,6,24.3,51.6,0,-1,-1
1,50,1,1,29.4,37.5,1,-1,-1
1,51,0,9,20.4,43,0,-1,-1
1,52,0,9,26.3,55.4,1,-1,-1
1,53,1,12,22.8,44.9,0,-1,-1
1,54,1,9,26,45,1,-1,-1
1,55,0,9,22.9,61.7,0,1,1700
1,56,1,9,24.5,61.1,0,-1,-1
1,57,0,9,23,41.1,0,-1,-1
1,58,0,2,28.5,39.3,0,0,1899
1,59,1,1,25.6,29.1,0,-1,-1
1,60,0,1,22.8,25.9,0,-1,-1
1,61,1,1,21.1,29.6,0,-1,-1
1,62,0,4,24.7,50.6,1,1,1501
1,63,0,2,22.3,28,1,-1,-1
1,64,1,4,24.6,31,0,0,1501
1,65,1,4,25.5,32.9,0,-1,-1
1,66,0,9,20.5,57.3,0,-1,-1
1,67,1,2,28.9,36.3,1,-1,-1
1,68,0,9,23.1,64.6,0,-1,-1
1,69,0,9,27.3,76.3,1,-1,-1
1,70,1,1,20.4,26.3,1,-1,-1
1,71,0,4,27.3,35.2,0,-1,-1
1,72,1,6,29.5,51.8,0,-1,-1
1,73,0,9,29.6,82.7,1,-1,-1
1,74,0,12,20.4,70.8,0,-1,-1
1,75,0,1,28.3,28.4,0,-1,-1
1,76,0,12,20.4,51,1,0,1556
1,77,0,4,23.1,30,1,-1,-1
1,78,1,6,20.6,37,1,-1,-1
1,79,1,9,26.7,58.4,1,-1,-1
1,80,1,12,27.9,102.9,0,-1,-1
1,1,1,4,24.5,55.1,1,1,850
1,2,0,6,20.1,48.1,0,1,1573
1,3,1,9,24.1,66,0,1,958
1,4,1,6,23.6,36.6,0,-1,-1
1,5,1,12,28.3,84.9,1,1,1392
1,6,1,1,30,34.8,1,-1,-1
1,7,0,6,20.7,39.5,1,-1,-1
1,8,1,9,27,63.4,1,-1,-1
1,9,0,9,25.9,85.1,0,-1,-1
1,10,1,12,27.6,57.4,1,-1,-1
1,11,1,9,23.5,55.2,0,-1,-1
1,12,1,9,20.8,48.8,1,-1,-1
1,13,1,2,26.5,34.8,1,0,1374
1,14,0,9,27,129.9,1,1,1374
1,15,1,6,22.7,45.7,1,-1,-1
1,16,0,9,25.4,48.5,1,-1,-1
1,17,0,9,28,70.2,0,-1,-1
1,18,0,4,20.8,44.2,1,-1,-1
1,19,1,12,23.7,51.7,0,0,1591
1,20,1,1,22.1,23.4,1,0,922
1,21,1,6,22,43.8,1,-1,-1
1,22,1,12,24.7,73.4,0,-1,-1
1,23,1,4,25.6,38.4,0,1,1229
1,24,1,2,25.2,42.9,0,-1,-1
1,25,0,6,26.2,51,1,-1,-1
1,26,1,4,29.7,38.3,0,-1,-1
1,27,1,9,23.6,56.7,0,-1,-1
1,28,1,1,27.8,32.4,0,-1,-1
1,29,0,9,22.9,55,1,-1,-1
1,30,0,2,26.3,34.9,1,-1,-1
1,31,0,4,20.7,33.9,1,-1,-1
1,32,1,1,29.4,42.5,1,1,1212
1,33,0,12,28.5,59.1,1,0,1321
1,34,0,2,29.4,38.3,0,-1,-1
1,35,1,9,20.6,61.9,0,1,1013
1,36,1,4,23.7,37.3,0,-1,-1
1,37,1,9,22.2,60.2,1,-1,-1
1,38,1,12,26.4,71.2,1,-1,-1
1,39,0,6,20.5,43.8,0,-1,-1
1,40,0,4,27.6,43.4,1,-1,-1
1,41,1,2,27.5,35.5,1,-1,-1
1,42,1,4,25.2,35.7,0,-1,-1
1,43,0,1,27.5,34.3,0,-1,-1
1,44,0,1,26.9,30.8,0,0,1339
1,45,1,2,30,43.7,0,0,1356
1,46,1,6,26,87.9,1,-1,-1
1,47,0,12,21.9,42.9,1,-1,-1
1,48,1,2,22.6,24.6,0,-1,-1
1,49,0,2,22,40.5,1,1,1212
1,50,1,2,25.3,34.1,0,-1,-1
1,51,0,12,20.5,111.3,0,-1,-1
1,52,1,9,23,57.9,0,-1,-1
1,53,1,12,22,45.9,0,0,669
1,54,0,2,27.8,37.5,0,-1,-1
1,55,0,2,24.8,33.4,0,-1,-1
1,56,0,6,23.4,63.1,0,-1,-1
1,57,0,6,20.9,33.8,0,-1,-1
1,58,0,4,22.7,31.7,1,0,1031
1,59,1,4,21.4,30.7,0,0,759
1,60,0,6,28.9,59,1,1,940
1,61,1,12,21.4,62.7,0,-1,-1
1,62,1,6,28.8,56.8,1,-1,-1
1,63,1,4,27.4,39.9,1,1,832
1,64,1,2,25.8,33.9,0,-1,-1
1,65,0,9,25.8,61.5,0,-1,-1
1,66,0,9,29.4,98.3,1,-1,-1
1,67,0,4,23.4,31.7,1,-1,-1
1,68,0,6,27.4,42.8,1,0,796
1,69,0,4,21.4,41.9,1,1,868
1,70,1,1,29.5,34,1,-1,-1
1,71,1,6,29.2,66.4,0,-1,-1
1,72,0,9,29.6,69.3,0,1,904
1,73,0,2,27.8,35.8,1,0,1556
1,74,0,6,29.8,56.3,1,-1,-1
1,75,0,9,26.8,62.4,0,1,1248
1,76,1,1,24.6,28.1,0,0,1266
1,77,0,2,22,32,0,-1,-1
1,78,0,2,21.5,31.3,1,0,1753
1,79,0,9,22.5,54.4,1,-1,-1
1,80,0,9,23.3,56.3,1,1,1013
2,1,1,4,24,53.9,1,-1,-1
2,2,0,4,23.3,90.7,0,-1,-1
2,3,0,2,25.7,32.4,0,-1,-1
2,4,0,2,20.9,34.5,1,-1,-1
2,5,0,12,27.2,123.2,0,-1,-1
2,6,0,9,28.9,106.4,0,1,795
2,7,1,12,22.2,47.8,0,-1,-1
2,8,1,6,22.1,36.1,1,0,887
2,9,0,2,23,34.3,1,-1,-1
2,10,1,4,22.7,62.7,1,-1,-1
2,11,1,6,28.6,68.9,1,-1,-1
